Statistik från Skolverket, https://www.skolverket.se;;;;;;;;;;
;;;;;;;;;;
Grundskola - Slutbetyg årskurs 9, samtliga elever;;;;;;;;;;
Valt läsår: 2024/25;;;;;;;;;;
;;;;;;;;;;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Andel (%) elever som uppfyllt betygskriterierna i alla ämnen;Andel (%) elever behöriga till yrkesprog.;Genomsnittligt meritvärde (17 ämnen)
Jönsbergska Idrottsskolan Norrköping;61454000;Norrköping;0581;Enskild;Jönsbergska Idrottsskolan Norrköping AB;5566765920;50;100;100;276
Skarpnäcks skola;53075005;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;78;93,6;~100;275,6
Särö skola 6-9;72090315;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;62;88,7;~100;275,3
Christinaskolan;46097781;Lidingö;0186;Enskild;Lidingö Skola AB;5568681810;48;97,9;100;275,1
Grundskolan Metapontum;90850620;Stockholm;0180;Enskild;Metapontum AB;5566641691;52;96,2;100;275,1
Barsebäcks Montessoriskola;22957852;Kävlinge;1261;Enskild;Barsebäcks Montessori Ekonomisk Förening;7696006191;22;100;100;274,8
Lunds Montessorigrundskola;70044059;Lund;1281;Enskild;Föreningen Lunds Montessorigrundskola;8450021459;28;92,9;~100;274,6
Boo Gårds skola;44175786;Nacka;0182;Kommunal;Nacka kommun;2120000167;60;93,3;~100;274,5
Bjärehovskolan;41254600;Lomma;1262;Kommunal;Lomma kommun;2120001066;96;95,8;~100;274,4
JENSEN grundskola Uppsala 2;97879425;Uppsala;0380;Enskild;Jensen Education College AB;5566358759;32;87,5;~100;274,1
Observatorielundens skola;29158808;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;54;81,5;90,7;274
Bäckagårdsskolan;12636945;Malmö;1280;Kommunal;Malmö kommun;2120001124;56;89,3;~100;273,9
Tunaskolan;76684064;Lund;1281;Kommunal;Lunds kommun;2120001132;96;89,6;93,8;273,6
Göteborgs Högre Samskola gr.;52538248;Göteborg;1480;Enskild;Stiftelsen Göteborgs Högre Samskola;8572059197;150;93,3;~100;273,5
Sophiaskolan;59958745;Simrishamn;1291;Enskild;Stift Sophiaskolan, Österlens Waldorfskola;8388005517;24;100;100;273,5
Eketånga Montessoriskola;28459364;Halmstad;1380;Enskild;Ideella Föreningen Eketånga Montessoriskola;8492017143;24;87,5;~100;273,4
Lemshagastiftelsen;11364996;Värmdö;0120;Enskild;Lemshagastiftelsen;8024007075;52;96,2;~100;273,4
Nordic International School Kalmar;51786225;Kalmar;0880;Enskild;Nordic International School AB;5566102033;52;76,9;82,7;273,3
