Statistik från Skolverket, https://www.skolverket.se;;;;;;;;;;
;;;;;;;;;;
Grundskola - Slutbetyg årskurs 9, samtliga elever;;;;;;;;;;
Valt läsår: 2024/25;;;;;;;;;;
;;;;;;;;;;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Andel (%) elever som uppfyllt betygskriterierna i alla ämnen;Andel (%) elever behöriga till yrkesprog.;Genomsnittligt meritvärde (17 ämnen)
Norrtullskolan åk 7-9;35139330;Söderhamn;2182;Kommunal;Söderhamns kommun;2120002353;104;71,2;81,7;226,9
Sammilsdalskolan F-9;61834375;Leksand;2029;Kommunal;Leksands kommun;2120002163;160;69,4;78,1;226,8
Själevadskolan F-9;49933363;Örnsköldsvik;2284;Kommunal;Örnsköldsviks kommun;2120002445;76;76,3;80,3;226,8
Nolhagaskolan;84581048;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;147;68,7;78,2;226,7
Ängskolan;22847273;Sundbyberg;0183;Kommunal;Sundbybergs kommun;2120000175;120;61,7;77,5;226,7
Svalövs Montessoriskola;58981647;Svalöv;1214;Enskild;Svalövs Montessori Ekonomisk förening;7696009328;29;69;~100;226,7
Strömslundsskolan 7-9;96091081;Trollhättan;1488;Kommunal;Trollhättans kommun;2120001546;67;80,6;89,6;226,7
Bors skola;68702432;Värnamo;0683;Kommunal;Värnamo kommun;2120000555;69;71;79,7;226,7
Tillbergaskolan;33439128;Västerås;1980;Kommunal;Västerås kommun;2120002080;86;72,1;90,7;226,7
Norrevångsskolan 7-9;37995642;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;147;81;85;226,6
Tallhagsskolan;74570653;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;185;71,9;84,3;226,6
Vanstaskolan F-9;68361133;Nynäshamn;0192;Kommunal;Nynäshamns kommun;2120000233;107;59,8;90,7;226,6
Kista International School;37556682;Stockholm;0180;Enskild;Al-Kowneyn Utbildning Centrum;8024097555;50;46;82;226,5
Gökstensskolan F-9;85601783;Eskilstuna;0484;Kommunal;Eskilstuna kommun;2120000357;142;73,2;85,9;226,4
Innovitaskolan Rudan;17957898;Haninge;0136;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;146;77,4;89;226,4
Uppsala waldorfskola;69405762;Uppsala;0380;Enskild;Stiftelsen Uppsala Waldorfskola;8176031154;18;55,6;61,1;226,4
Fristadskolan 7-9;86708639;Borås;1490;Kommunal;Borås kommun;2120001561;139;80,6;89,2;226,3
Getingeskolan 7-9;91161376;Halmstad;1380;Kommunal;Halmstads kommun;2120001215;111;78,4;89,2;226,3
Snyggatorpsskolan;10822811;Klippan;1276;Kommunal;Klippans kommun;2120000928;142;68,3;88,7;226,3
Mariekällskolan;43403496;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;88;70,5;90,9;226,3
Mobergsskolan Växjö;69600902;Växjö;0780;Enskild;Skolalliansen i Sverige AB;5567497051;127;75,6;85;226,3
Linnéskolan 2;66184918;Älmhult;0765;Kommunal;Älmhults kommun;2120000647;100;66;85;226,3
Söderby friskola;56858061;Salem;0128;Enskild;Söderby Friskola Ekonomisk Förening;7696016117;25;80;~100;226,2
Ekhammarskolan;92284588;Upplands-Bro;0139;Kommunal;Upplands-Bro kommun;2120000100;134;74,6;89,6;226,2
Innovitaskolan Johanneberg;87139814;Göteborg;1480;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;83;71,1;89,2;226,1
Sjulnässkolan;42296356;Piteå;2581;Kommunal;Piteå kommun;2120002759;45;71,1;88,9;226,1
Murgårdsskolan;78907748;Sandviken;2181;Kommunal;Sandvikens kommun;2120002346;102;69,6;86,3;226,1
Prästängsskolan A;48457931;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;92;78,3;83,7;226
Östra skolan;50190330;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;128;70,3;86,7;226
Gröndalsskolan;41729877;Värnamo;0683;Kommunal;Värnamo kommun;2120000555;159;68,6;73;226
Kunskapsskolan Borås;10257640;Borås;1490;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;119;76,5;86,6;225,9
Hagaskolan;93081338;Dals-Ed;1438;Kommunal;Dals-Eds kommun;2120001413;50;70;90;225,9
Flens kristna skola;52287808;Flen;0482;Enskild;Flens Kristna Skola AB;5568505191;15;73,3;~100;225,9
Varlaskolan Syd;93339853;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;72;83,3;88,9;225,9
Kunskapsskolan Tumba;84411355;Botkyrka;0127;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;75;61,3;66,7;225,7
Finnbacksskolan 2;12717350;Lycksele;2481;Kommunal;Lycksele kommun;2120002635;72;73,6;81,9;225,7
Furulidskolan;88669294;Aneby;0604;Kommunal;Aneby kommun;2120000498;71;85,9;93;225,6
Asmundtorps skola;70803452;Landskrona;1282;Kommunal;Landskrona kommun;2120001140;50;66;80;225,6
Innovitaskolan Karlskrona;10662754;Karlskrona;1080;Enskild;AcadeMedia fria grundskolor AB;5569320699;102;81,4;91,2;225,5
Fredsborgskolan;43869172;Österåker;0117;Enskild;Fredsborgskolan AB;5567317416;103;82,5;~100;225,5
Ättekullaskolan;64728140;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;34;52,9;64,7;225,4
Språkskolan;55815397;Umeå;2480;Enskild;Språkskolan i Umeå Ek. För.;7696004535;20;70;~100;225,4
Silviaskolan F-9;65408331;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;10;..;..;225,3
Bureskolan;97784361;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;56;64,3;87,5;225,2
Lyckeby kunskapscentrum F-9;55709634;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;95;67,4;75,8;225,1
Bredängsskolan;14121892;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;52;67,3;88,5;225,1
Ansgarskolorna Kyrkskolan 7-9;35561766;Uppsala;0380;Enskild;Ansgarskolorna AB;5565835146;70;68,6;87,1;225,1
Håstensskolan 8 och 9;75684823;Varberg;1383;Kommunal;Varbergs kommun;2120001249;108;72,2;77,8;225,1
Furulundsskolan 4-9;84189577;Halmstad;1380;Kommunal;Halmstads kommun;2120001215;76;65,8;80,3;225
Hörnefors Centralskola F-9;61483058;Umeå;2480;Kommunal;Umeå kommun;2120002627;53;84,9;90,6;225
Högakustenskolan;75515918;Kramfors;2282;Kommunal;Kramfors kommun;2120002429;64;68,8;92,2;224,9
Nya Läroverket Bergnäset;52734580;Luleå;2580;Enskild;Nya läroverket Luleå AB;5566677927;37;81,1;~100;224,8
Djäkneparksskolan 1;59526276;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;140;67,1;82,1;224,8
Österbyskolan;57548666;Östhammar;0382;Kommunal;Östhammars kommun;2120000290;35;74,3;80;224,8
Ås skola 7-9;54952732;Krokom;2309;Kommunal;Krokoms kommun;2120002478;77;84,4;~100;224,7
Ängås skola 7-9;34557677;Orust;1421;Kommunal;Orust kommun;2120001314;63;74,6;90,5;224,7
Ala skola;59092675;Timrå;2262;Kommunal;Timrå kommun;2120002395;38;76,3;81,6;224,7
Rosenholmsskolan;66394964;Nässjö;0682;Kommunal;Nässjö kommun;2120000548;32;78,1;~100;224,6
Stenbockskolan MH;23991743;Boxholm;0560;Kommunal;Boxholms kommun;2120000407;49;81,6;~100;224,5
Tundalsskolan åk 7-9;74131494;Robertsfors;2409;Kommunal;Robertsfors kommun;2120002551;79;82,3;89,9;224,5
Funkaboskolan;21736926;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;100;76;83;224,4
Hagatorpskolan Ljungby;59021648;Ljungby;0781;Enskild;Skolalliansen i Sverige AB;5567497051;25;72;~100;224,4
Vittra Västra hamnen;13495830;Malmö;1280;Enskild;Vittraskolorna AB;5564586716;34;67,6;~100;224,4
Montessoriskolan Pärlan;80072686;Mark;1463;Enskild;Montessoriskolan i Skene Aktiebolag;5565933503;18;77,8;~100;224,4
Geneskolan;87606101;Örnsköldsvik;2284;Kommunal;Örnsköldsviks kommun;2120002445;127;76,4;89,8;224,4
Frejaskolan F-9;89195825;Gnesta;0461;Kommunal;Gnesta kommun;2120002965;117;75,2;86,3;224,3
Turebergsskolan;75401552;Sollentuna;0163;Kommunal;Sollentuna kommun;2120000134;40;57,5;80;224,3
Västervångskolan;29541747;Landskrona;1282;Kommunal;Landskrona kommun;2120001140;101;61,4;78,2;224,2
Sotenässkolan;78294346;Sotenäs;1427;Kommunal;Sotenäs kommun;2120001322;88;69,3;85,2;224,1
Norregårdskolan;12286029;Växjö;0780;Kommunal;Växjö kommun;2120000662;180;71,1;84,4;224,1
Nordmarkens skola H;55304171;Årjäng;1765;Kommunal;Årjängs kommun;2120001835;110;80;90;224,1
Montessoriskolan Globen;87109819;Alingsås;1489;Enskild;Alingsås Montessori Skola Globen;8640009794;50;82;88;224
Högstadium Centrum;17911537;Falköping;1499;Kommunal;Falköpings kommun;2120001744;202;67,8;79,2;224
Pitholmsskolan 7-9;18339846;Piteå;2581;Kommunal;Piteå kommun;2120002759;81;69,1;92,6;224
Väsby skola;31018677;Upplands Väsby;0114;Kommunal;Upplands Väsby kommun;2120000019;55;60;76,4;224
Prästängsskolan B;98124174;Eksjö;0686;Kommunal;Eksjö kommun;2120000589;87;63,2;80,5;223,9
Svanberga skola;59975651;Norrtälje;0188;Kommunal;Norrtälje kommun;2120000217;54;74,1;83,3;223,9
Hedens skola 7-9;92940771;Öckerö;1407;Kommunal;Öckerö kommun;2120001280;56;83,9;89,3;223,8
Stadsparksskolan;57412559;Partille;1402;Kommunal;Partille kommun;2120001272;109;66,1;75,2;223,7
Rosendalsskolan;63742407;Vallentuna;0115;Kommunal;Vallentuna kommun;2120000027;74;66,2;77;223,7
Östra grundskolan;39229061;Huddinge;0126;Kommunal;Huddinge kommun;2120000068;122;62,3;77;223,6
Östra skolan;86851817;Jokkmokk;2510;Kommunal;Jokkmokks kommun;2120002676;39;74,4;~100;223,5
Tollarps skola H;58680588;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;53;75,5;83;223,5
Tellusskolan Thea Linköping;31658010;Linköping;0580;Enskild;Tellusskolan II AB;5565697082;119;65,5;87,4;223,5
Genarps skola;83803124;Lund;1281;Kommunal;Lunds kommun;2120001132;45;71,1;77,8;223,5
Vittra Kronhusparken;67543412;Göteborg;1480;Enskild;Vittraskolorna AB;5564586716;77;66,2;85,7;223,4
Herrestorpskolan;16650439;Vellinge;1233;Kommunal;Vellinge kommun;2120001033;44;75;~100;223,4
Hovsjöskolan;82137009;Södertälje;0181;Kommunal;Södertälje kommun;2120000159;54;66,7;85,2;223,2
Hammarbyskolan Södra;68602166;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;107;67,3;74,8;223,1
Hallens Kyrkskola F-9;47003034;Åre;2321;Kommunal;Åre kommun;2120002494;16;81,3;~100;223,1
Solbergaskolan;96609581;Gotland;0980;Kommunal;Region Gotland;2120000803;213;69;82,6;223
Kunskapsskolan Landskrona;60956248;Landskrona;1282;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;76;65,8;75;222,8
Johannaskolan Örebro Waldorfskola;11909268;Örebro;1880;Enskild;Stiftelsen Johannaskolan: Örebro Waldorfskola;8750013859;19;84,2;~100;222,8
Fässbergsskolan;72066259;Mölndal;1481;Kommunal;Mölndals kommun;2120001363;149;63,1;79,9;222,7
Prästamosseskolan;31975018;Skurup;1264;Kommunal;Skurups kommun;2120001082;132;72,7;85,6;222,7
Helenaskolan;18790096;Skövde;1496;Kommunal;Skövde kommun;2120001710;145;61,4;77,2;222,7
Vislandaskolan;88176175;Alvesta;0764;Kommunal;Alvesta kommun;2120000639;55;74,5;85,5;222,6
Viskaforsskolan 7-9;50756758;Borås;1490;Kommunal;Borås kommun;2120001561;75;72;82,7;222,6
Ede skola F-6;83627088;Hudiksvall;2184;Kommunal;Hudiksvalls kommun;2120002379;67;80,6;88,1;222,6
Örnässkolan 7-9;20104143;Luleå;2580;Kommunal;Luleå kommun;2120002742;74;70,3;81,1;222,6
Linneaskolan;39117429;Umeå;2480;Kommunal;Umeå kommun;2120002627;56;67,9;82,1;222,6
Parkskolan;91030682;Hallstahammar;1961;Kommunal;Hallstahammars kommun;2120002064;156;66;77,6;222,5
Skansenskolan;36651204;Mörbylånga;0840;Kommunal;Mörbylånga kommun;2120000704;26;80,8;~100;222,5
Fridaskolan, Vänersborg;10982633;Vänersborg;1487;Enskild;Fridaskolorna AB;5564515988;74;71,6;83,8;222,5
Innovitaskolan Helsingborg;16688128;Helsingborg;1283;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;108;69,4;83,3;222,4
Lunds Waldorfskola;96533068;Lund;1281;Enskild;Stiftelsen Lunds Waldorfskola;8450008415;20;65;~100;222,4
Sätilaskolan 7-9;34246393;Mark;1463;Kommunal;Marks kommun;2120001504;83;74,7;75,9;222,4
Björkskolan;65417636;Skellefteå;2482;Enskild;Skolföreningen Växa;8947021443;25;84;~100;222,4
Stora Högaskolan 7-9;21617136;Stenungsund;1415;Kommunal;Stenungsunds kommun;2120001298;140;78,6;90;222,4
Björnaskolan;24396451;Örnsköldsvik;2284;Kommunal;Örnsköldsviks kommun;2120002445;25;68;72;222,4
Röselidsskolan skolenhet B;38539206;Lerum;1441;Kommunal;Lerums kommun;2120001447;55;69,1;~100;222,3
Stenkulan 4-9;49419497;Lerum;1441;Kommunal;Lerums kommun;2120001447;58;74,1;84,5;222,3
Hagaskolan 1;17315625;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;110;59,1;68,2;222,3
Braås skola 4-9;86616046;Växjö;0780;Kommunal;Växjö kommun;2120000662;56;73,2;83,9;222,3
Lysingskolan;34255565;Ödeshög;0509;Kommunal;Ödeshögs kommun;2120000373;44;68,2;75;222,3
Stenbackaskolan;16767324;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;109;72,5;85,3;222,2
Kapareskolan E-H;84111198;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;98;79,6;92,9;222,2
Akalla grundskola F-9;37796564;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;43;58,1;81,4;222,2
Apladalsskolan;40576389;Värnamo;0683;Kommunal;Värnamo kommun;2120000555;145;56,6;77,9;222,1
Nyhemsskolan SO 2;49786332;Ängelholm;1292;Kommunal;Ängelholms kommun;2120000977;72;81,9;86,1;222,1
Dammfriskolan;48874671;Malmö;1280;Kommunal;Malmö kommun;2120001124;81;55,6;77,8;222
Artediskolan åk 7-9;58185455;Nordmaling;2401;Kommunal;Nordmalings kommun;2120002536;84;78,6;84,5;222
Önstaskolan;84998800;Västerås;1980;Kommunal;Västerås kommun;2120002080;156;60,9;75,6;222
Karsby International School;67742754;Botkyrka;0127;Kommunal;Botkyrka kommun;2120002882;47;53,2;83;221,9
Grosvadsskolan;83468631;Finspång;0562;Kommunal;Finspångs kommun;2120000423;97;66;86,6;221,9
Rönnbyskolan;99408329;Västerås;1980;Kommunal;Västerås kommun;2120002080;55;70,9;89,1;221,9
Söndrebalgs skola SO 2;62301442;Ängelholm;1292;Kommunal;Ängelholms kommun;2120000977;53;73,6;84,9;221,8
Fryshuset Grundskola Husby;69004747;Stockholm;0180;Enskild;Stiftelsen Fryshuset;8020111582;62;43,5;72,6;221,7
Vällingbyskolan;36031993;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;116;61,2;74,1;221,7
Bohusskolan;11043800;Ale;1440;Kommunal;Ale kommun;2120001439;88;73,9;84,1;221,6
Albäcksskolan 1;55252119;Hultsfred;0860;Kommunal;Hultsfreds kommun;2120000712;70;72,9;81,4;221,6
Järvsö skola F-9;56759222;Ljusdal;2161;Kommunal;Ljusdals kommun;2120002320;47;74,5;~100;221,6
Linnéskolan 1;53191534;Älmhult;0765;Kommunal;Älmhults kommun;2120000647;101;61,4;85,1;221,6
Europaskolan Malmköping;38215460;Flen;0482;Enskild;Europaskolan Malmköping AB;5567480511;63;73;87,3;221,5
Alléskolan skolenhet Ask;51403955;Lerum;1441;Kommunal;Lerums kommun;2120001447;73;76,7;83,6;221,5
Al-Salamahskolan;75399786;Malmö;1280;Enskild;Kulturella Föreningen F Välgörande Ändamål;8460052155;40;50;87,5;221,5
Landsbro skola 7-9;69564434;Vetlanda;0685;Kommunal;Vetlanda kommun;2120000571;117;68,4;82,1;221,5
Hammarskolan;74582871;Surahammar;1907;Kommunal;Surahammars kommun;2120002031;102;60,8;93,1;221,4
Hemmestaskolan;24561769;Värmdö;0120;Kommunal;Värmdö kommun;2120000035;75;68;84;221,4
Gustav Adolfsskolan;74064638;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;114;71,1;87,7;221,3
Ölmestadskolan;85013151;Gislaved;0662;Kommunal;Gislaveds kommun;2120000514;34;73,5;76,5;221,3
Alviksskolan;72627865;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;104;64,4;73,1;221,3
Solskiftesskolan;82624830;Österåker;0117;Kommunal;Österåkers kommun;2120002890;85;72,9;80;221,3
Parkskolan;84285512;Mönsterås;0861;Kommunal;Mönsterås kommun;2120000720;71;60,6;87,3;221,2
Vasavångsskolan 7-9;26645758;Eslöv;1285;Kommunal;Eslövs kommun;2120001173;108;64,8;80,6;221,1
Källtorpskolan;17287315;Järfälla;0123;Kommunal;Järfälla kommun;2120000043;113;55,8;85;221,1
Karlbergsskolan;31319179;Köping;1983;Kommunal;Köpings kommun;2120002114;128;66,4;85,9;221
Communityskolan Tynnered;88746223;Göteborg;1480;Enskild;RM Bildning AB;5591946909;52;65,4;80,8;220,9
Kollaskolan 7-9;47579620;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;73;74;83,6;220,9
Bleketskolan;16656370;Tjörn;1419;Kommunal;Tjörns kommun;2120001306;72;69,4;80,6;220,7
Oxievångsskolan;64402572;Malmö;1280;Kommunal;Malmö kommun;2120001124;161;62,7;80,1;220,6
Lyrfågelskolan 7-9;81052393;Trollhättan;1488;Kommunal;Trollhättans kommun;2120001546;134;73,1;88,1;220,6
Vetlanda Friskola;13123046;Vetlanda;0685;Enskild;Hope Stiftelsen;8275007683;12;..;..;220,4
Finnbacksskolan 1;12853184;Lycksele;2481;Kommunal;Lycksele kommun;2120002635;81;65,4;82,7;220,3
Lexby skola 6-9;51610240;Partille;1402;Kommunal;Partille kommun;2120001272;125;68,8;82,4;220,2
Vittra Halmstad;61582926;Halmstad;1380;Enskild;Vittraskolorna AB;5564586716;27;63;70,4;220,1
Ringsjöskolan;82942801;Höör;1267;Kommunal;Höörs kommun;2120001116;132;75;85,6;220,1
Sannerudsskolan 7-9;83291761;Kil;1715;Kommunal;Kils kommun;2120001751;120;64,2;80;220,1
Slottsskolan;80852248;Borgholm;0885;Kommunal;Borgholms kommun;2120000795;55;78,2;87,3;220
Hedda Wisingskolan;16490220;Härnösand;2280;Kommunal;Härnösands kommun;2120002403;111;63,1;75,7;220
Forsnässkolan 4-9;73206377;Munkfors;1762;Kommunal;Munkfors kommun;2120001801;47;68,1;89,4;219,9
Rådmansvångens skola;87197902;Malmö;1280;Kommunal;Malmö kommun;2120001124;53;67,9;83;219,8
Ekhamraskolan;29289355;Mariestad;1493;Enskild;Friskolan i Mariestad AB;5568020852;64;67,2;90,6;219,8
Gröndalsskolan F-9;65717061;Nynäshamn;0192;Kommunal;Nynäshamns kommun;2120000233;122;73;91;219,8
Ramunderskolan;99361107;Söderköping;0582;Kommunal;Söderköpings kommun;2120000464;154;74,7;83,1;219,8
Svärdsjöskolan;27506076;Falun;2080;Kommunal;Falu kommun;2120002221;80;78,8;88,8;219,7
Skytteskolan F-9;65688769;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;139;69,1;82,7;219,7
Högastensskolan;13175575;Helsingborg;1283;Kommunal;Helsingborgs kommun;2120001157;119;63,9;76,5;219,7
Västerskolan F-9;75318783;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;101;72,3;87,1;219,7
Lindeborgsskolan;22509001;Malmö;1280;Kommunal;Malmö kommun;2120001124;128;63,3;81,3;219,7
von Bahrs skola;17250578;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;60;60;71,7;219,7
Älghultskolan;73077490;Uppvidinge;0760;Kommunal;Uppvidinge kommun;2120000605;43;60,5;74,4;219,7
Vallbacksskolan;54990077;Gävle;2180;Kommunal;Gävle kommun;2120002338;183;71,6;85,2;219,6
Ljungarumsskolan 7-9;84917564;Jönköping;0680;Kommunal;Jönköpings kommun;2120000530;149;67,8;87,2;219,6
Ursviksskolan;15716434;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;47;74,5;89,4;219,6
Pilträdsskolan;81265119;Västerås;1980;Enskild;Stiftelsen Källan;8780019090;41;53,7;75,6;219,5
Prolympia, Östersund;16858929;Östersund;2380;Enskild;Ulno AB;5566577705;78;74,4;85,9;219,5
Domarhagsskolan;87516620;Avesta;2084;Kommunal;Avesta kommun;2120002262;92;66,3;78,3;219,4
Thunmanskolan;92364234;Knivsta;0330;Kommunal;Knivsta kommun;2120003013;108;72,2;88;219,4
Höjaskolan;99835038;Malmö;1280;Kommunal;Malmö kommun;2120001124;60;58,3;80;219,4
Vittra Väsby;24374886;Upplands Väsby;0114;Enskild;Vittraskolorna AB;5564586716;25;60;~100;219,4
Södra Skolan;79022806;Härjedalen;2361;Kommunal;Härjedalens kommun;2120002510;49;79,6;87,8;219,3
Kvibergsskolan F-9;79522184;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;104;65,4;73,1;219,2
Torpaskolan F-9;11465652;Göteborg;1480;Kommunal;Göteborgs kommun;2120001355;49;63,3;81,6;219,2
Broskolan Ö-viks Kristna skola;32866578;Örnsköldsvik;2284;Enskild;Broskolan AB;5567091391;21;81;~100;219,2
Entréskolan Eskilstuna;10443922;Eskilstuna;0484;Enskild;AmiSgo AB;5568148117;47;61,7;87,2;219
Astradskolan 3;21157015;Ljungby;0781;Kommunal;Ljungby kommun;2120000670;48;75;83,3;219
Kågeskolan;67809657;Skellefteå;2482;Kommunal;Skellefteå kommun;2120002643;63;74,6;88,9;219
Nyhemsskolan SO 1;49730992;Ängelholm;1292;Kommunal;Ängelholms kommun;2120000977;77;72,7;84,4;218,9
Brinells högstadium;27489659;Nässjö;0682;Kommunal;Nässjö kommun;2120000548;113;61,9;84,1;218,8
Britsarvsskolan;17033155;Falun;2080;Kommunal;Falu kommun;2120002221;103;68;86,4;218,7
Lillåns skola F-9;26831439;Örebro;1880;Kommunal;Örebro kommun;2120001967;187;75,9;84;218,7
Väskolan H;53662534;Kristianstad;1290;Kommunal;Kristianstads kommun;2120000951;52;69,2;86,5;218,6
Skuru skola;85321366;Nacka;0182;Kommunal;Nacka kommun;2120000167;23;65,2;78,3;218,6
Lärande Grundskola Södra;72526185;Norrköping;0581;Enskild;Lärande förskolor och grundskolor i Sverige AB;5567243547;52;75;76,9;218,6
Stöpenskolan;89477299;Skövde;1496;Kommunal;Skövde kommun;2120001710;128;73,4;85,2;218,6
Vasaskolan 1;16057411;Skövde;1496;Kommunal;Skövde kommun;2120001710;76;67,1;85,5;218,6
Engelbrektsskolan;82807694;Örebro;1880;Kommunal;Örebro kommun;2120001967;160;67,5;78,1;218,6
Forshaga Lärcenter H-stadiet;68533503;Forshaga;1763;Kommunal;Forshaga kommun;2120001819;99;70,7;88,9;218,4
Celsiusskolan 7-9;43362307;Ovanåker;2121;Kommunal;Ovanåkers kommun;2120002304;70;72,9;78,6;218,4
Furudals centralskola;30917018;Rättvik;2031;Kommunal;Rättviks kommun;2120002171;11;..;..;218,4
Skytteanska skolan;52561988;Storuman;2421;Kommunal;Storumans kommun;2120002577;16;68,8;~100;218,4
Forshedaskolan;23192281;Värnamo;0683;Kommunal;Värnamo kommun;2120000555;65;66,2;73,8;218,4
Mörsil F-9;50126333;Åre;2321;Kommunal;Åre kommun;2120002494;63;74,6;84,1;218,4
Nya Centralskolan 4-9;31381375;Grästorp;1444;Kommunal;Grästorps kommun;2120001595;62;69,4;77,4;218,3
Klågerupskolan F-9;51392146;Svedala;1263;Kommunal;Svedala kommun;2120001074;40;70;~100;218,3
Teleborg Centrum skola 2;28059616;Växjö;0780;Kommunal;Växjö kommun;2120000662;51;68,6;80,4;218,3
Älvåkraskolan;32970785;Älvsbyn;2560;Kommunal;Älvsbyns kommun;2120002734;72;80,6;93,1;218,3
Gullmarsskolan 7-9;12247315;Lysekil;1484;Kommunal;Lysekils kommun;2120001389;147;72,8;85,7;218,2
Fokusskolan;18915192;Nyköping;0480;Enskild;Nyfo AB;5567812291;23;56,5;~100;218
Ringsbergskolan;65161034;Växjö;0780;Kommunal;Växjö kommun;2120000662;26;69,2;80,8;217,9
Tullbroskolan;46898596;Falkenberg;1382;Kommunal;Falkenbergs kommun;2120001231;178;68;81,5;217,8
Klingsborgsskolan 2;52875693;Norrköping;0581;Kommunal;Norrköpings kommun;2120000456;103;62,1;73,8;217,8
Carl Johanskolan;34231336;Karlsborg;1446;Kommunal;Karlsborgs kommun;2120001629;69;66,7;84,1;217,7
Skårbyskolan Söder;46721838;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;63;69,8;73;217,7
Raoul Wallenbergskolan Skövde;90728703;Skövde;1496;Enskild;Raoul Wallenbergskolorna Skaraborg AB;5591438618;158;67,7;84,8;217,7
Nannaskolan;29677535;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;155;59,4;74,2;217,7
Vialundskolan;99992013;Kumla;1881;Kommunal;Kumla kommun;2120001975;103;59,2;68,9;217,6
Grundskolan Äventyret;57243353;Västerås;1980;Enskild;Stiftelsen Äventyret;8024262159;18;66,7;~100;217,6
Lillhagsskolan;51387807;Gävle;2180;Kommunal;Gävle kommun;2120002338;125;74,4;84,8;217,5
Heby skola 7-9;36374693;Heby;0331;Kommunal;Heby kommun;2120002049;88;58;70,5;217,5
Åbyskolan 2;75853223;Ljungby;0781;Kommunal;Ljungby kommun;2120000670;45;68,9;77,8;217,5
Viksängsskolan;35110948;Västerås;1980;Kommunal;Västerås kommun;2120002080;205;66,3;85,4;217,5
Bräcke skola;63287550;Bräcke;2305;Kommunal;Bräcke kommun;2120002460;24;70,8;79,2;217,4
Vallaskolan 7-9;62995298;Sala;1981;Kommunal;Sala kommun;2120002098;147;74,1;85,7;217,4
Skogstorpsskolan 7-9;44243725;Kumla;1881;Kommunal;Kumla kommun;2120001975;113;72,6;84,1;217,3
Dalskolan;56130729;Tyresö;0138;Kommunal;Tyresö kommun;2120000092;92;72,8;85,9;217,3
Brönjaskolan;60633912;Boden;2582;Kommunal;Bodens kommun;2120002767;99;73,7;81,8;217,2
Ornäs skola;58395955;Borlänge;2081;Kommunal;Borlänge kommun;2120002239;57;64,9;77,2;217,2
Vannarödsskolan 6-9;93845278;Hässleholm;1293;Kommunal;Hässleholms kommun;2120000985;44;68,2;77,3;217,1
Förslövs skola F-9;94453321;Båstad;1278;Kommunal;Båstads kommun;2120000944;79;74,7;86,1;217
Tunboskolan;32758035;Hallstahammar;1961;Kommunal;Hallstahammars kommun;2120002064;49;73,5;81,6;216,9
Guldkroksskolan 7-9;81342093;Hjo;1497;Kommunal;Hjo kommun;2120001728;103;77,7;87,4;216,9
Tokarpsskolan;68326694;Linköping;0580;Kommunal;Linköpings kommun;2120000449;133;65,4;82,7;216,9
Norsjöskolan F-9;10421130;Norsjö;2417;Kommunal;Norsjö kommun;2120002858;48;72,9;83,3;216,9
Fryshuset Grundskola Hammarby Sjöstad;19657993;Stockholm;0180;Enskild;Stiftelsen Fryshuset;8020111582;116;61,2;81,9;216,9
